date,kospi_price,symbol
2010-11-05,1938.96,KOSPI
2010-11-08,1942.41,KOSPI
2010-11-09,1947.46,KOSPI
2010-11-10,1967.85,KOSPI
2010-11-11,1914.73,KOSPI
2010-11-12,1913.12,KOSPI
2010-11-15,1913.81,KOSPI
2010-11-16,1899.13,KOSPI
2010-11-17,1897.11,KOSPI
2010-11-18,1927.86,KOSPI
2010-11-19,1940.96,KOSPI
2010-11-22,1944.34,KOSPI
2010-11-23,1928.94,KOSPI
2010-11-24,1925.98,KOSPI
2010-11-25,1927.68,KOSPI
2010-11-26,1901.8,KOSPI
2010-11-29,1895.54,KOSPI
2010-11-30,1904.63,KOSPI
2010-12-01,1929.32,KOSPI
2010-12-02,1950.26,KOSPI
2010-12-03,1957.26,KOSPI
2010-12-06,1953.64,KOSPI
2010-12-07,1962.52,KOSPI
2010-12-08,1955.72,KOSPI
2010-12-09,1988.96,KOSPI
2010-12-10,1986.14,KOSPI
2010-12-13,1996.59,KOSPI
2010-12-14,2009.05,KOSPI
2010-12-15,2017.48,KOSPI
2010-12-16,2009.24,KOSPI
2010-12-17,2026.3,KOSPI
2010-12-20,2020.28,KOSPI
2010-12-21,2037.09,KOSPI
2010-12-22,2038.11,KOSPI
2010-12-23,2037.53,KOSPI
2010-12-24,2029.6,KOSPI
2010-12-27,2022.19,KOSPI
2010-12-28,2033.32,KOSPI
2010-12-29,2043.49,KOSPI
2010-12-30,2051.0,KOSPI
2011-01-03,2070.08,KOSPI
2011-01-04,2085.14,KOSPI
2011-01-05,2082.55,KOSPI
2011-01-06,2077.61,KOSPI
2011-01-07,2086.2,KOSPI
2011-01-10,2080.81,KOSPI
2011-01-11,2088.32,KOSPI
2011-01-12,2094.95,KOSPI
2011-01-13,2089.48,KOSPI
2011-01-14,2108.17,KOSPI
2011-01-17,2099.85,KOSPI
2011-01-18,2096.48,KOSPI
2011-01-19,2115.69,KOSPI
2011-01-20,2106.66,KOSPI
2011-01-21,2069.92,KOSPI
2011-01-24,2082.16,KOSPI
2011-01-25,2086.67,KOSPI
2011-01-26,2110.46,KOSPI
2011-01-27,2115.01,KOSPI
2011-01-28,2107.87,KOSPI
2011-01-31,2069.73,KOSPI
2011-02-01,2072.03,KOSPI
2011-02-07,2081.74,KOSPI
2011-02-08,2069.7,KOSPI
2011-02-09,2045.58,KOSPI
2011-02-10,2008.5,KOSPI
2011-02-11,1977.19,KOSPI
2011-02-14,2014.59,KOSPI
2011-02-15,2010.52,KOSPI
2011-02-16,1989.11,KOSPI
2011-02-17,1977.22,KOSPI
2011-02-18,2013.14,KOSPI
2011-02-21,2005.3,KOSPI
2011-02-22,1969.92,KOSPI
2011-02-23,1961.63,KOSPI
2011-02-24,1949.88,KOSPI
2011-02-25,1963.43,KOSPI
2011-02-28,1939.3,KOSPI
2011-03-02,1928.24,KOSPI
2011-03-03,1970.66,KOSPI
2011-03-04,2004.68,KOSPI
2011-03-07,1980.27,KOSPI
2011-03-08,1996.32,KOSPI
2011-03-09,2001.47,KOSPI
2011-03-10,1981.58,KOSPI
2011-03-11,1955.54,KOSPI
2011-03-14,1971.23,KOSPI
2011-03-15,1923.92,KOSPI
2011-03-16,1957.97,KOSPI
2011-03-17,1959.03,KOSPI
2011-03-18,1981.13,KOSPI
2011-03-21,2003.42,KOSPI
2011-03-22,2013.66,KOSPI
2011-03-23,2012.18,KOSPI
2011-03-24,2036.78,KOSPI
2011-03-25,2054.04,KOSPI
2011-03-28,2056.39,KOSPI
2011-03-29,2072.13,KOSPI
2011-03-30,2091.38,KOSPI
2011-03-31,2106.7,KOSPI
2011-04-01,2121.01,KOSPI
2011-04-04,2115.87,KOSPI
2011-04-05,2130.43,KOSPI
2011-04-06,2126.71,KOSPI
2011-04-07,2122.14,KOSPI
2011-04-08,2127.97,KOSPI
2011-04-11,2122.39,KOSPI
2011-04-12,2089.4,KOSPI
2011-04-13,2121.92,KOSPI
2011-04-14,2141.06,KOSPI
2011-04-15,2140.5,KOSPI
2011-04-18,2137.72,KOSPI
2011-04-19,2122.68,KOSPI
2011-04-20,2169.91,KOSPI
2011-04-21,2198.54,KOSPI
2011-04-22,2197.82,KOSPI
2011-04-25,2216.0,KOSPI
2011-04-26,2206.3,KOSPI
2011-04-27,2206.7,KOSPI
2011-04-28,2208.35,KOSPI
2011-04-29,2192.36,KOSPI
2011-05-02,2228.96,KOSPI
2011-05-03,2200.73,KOSPI
2011-05-04,2180.64,KOSPI
2011-05-06,2147.45,KOSPI
2011-05-09,2139.17,KOSPI
2011-05-11,2166.63,KOSPI
2011-05-12,2122.65,KOSPI
2011-05-13,2120.08,KOSPI
2011-05-16,2104.18,KOSPI
2011-05-17,2102.41,KOSPI
2011-05-18,2135.78,KOSPI
2011-05-19,2095.51,KOSPI
2011-05-20,2111.5,KOSPI
2011-05-23,2055.71,KOSPI
2011-05-24,2061.76,KOSPI
2011-05-25,2035.87,KOSPI
2011-05-26,2091.91,KOSPI
2011-05-27,2100.24,KOSPI
2011-05-30,2093.79,KOSPI
2011-05-31,2142.47,KOSPI
2011-06-01,2141.34,KOSPI
2011-06-02,2114.2,KOSPI
2011-06-03,2113.47,KOSPI
2011-06-07,2099.71,KOSPI
2011-06-08,2083.35,KOSPI
2011-06-09,2071.42,KOSPI
2011-06-10,2046.67,KOSPI
2011-06-13,2048.74,KOSPI
2011-06-14,2076.83,KOSPI
2011-06-15,2086.53,KOSPI
2011-06-16,2046.63,KOSPI
2011-06-17,2031.93,KOSPI
2011-06-20,2019.65,KOSPI
2011-06-21,2048.17,KOSPI
2011-06-22,2063.9,KOSPI
2011-06-23,2055.86,KOSPI
