date,nasdaq_price,symbol
2011-02-16,2825.56,NASDAQ
2011-02-17,2831.58,NASDAQ
2011-02-18,2833.95,NASDAQ
2011-02-22,2756.42,NASDAQ
2011-02-23,2722.99,NASDAQ
2011-02-24,2737.9,NASDAQ
2011-02-25,2781.05,NASDAQ
2011-02-28,2782.27,NASDAQ
2011-03-01,2737.41,NASDAQ
2011-03-02,2748.07,NASDAQ
2011-03-03,2798.74,NASDAQ
2011-03-04,2784.67,NASDAQ
2011-03-07,2745.63,NASDAQ
2011-03-08,2765.77,NASDAQ
2011-03-09,2751.72,NASDAQ
2011-03-10,2701.02,NASDAQ
2011-03-11,2715.61,NASDAQ
2011-03-14,2700.97,NASDAQ
2011-03-15,2667.33,NASDAQ
2011-03-16,2616.82,NASDAQ
2011-03-17,2636.05,NASDAQ
2011-03-18,2643.67,NASDAQ
2011-03-21,2692.09,NASDAQ
2011-03-22,2683.87,NASDAQ
2011-03-23,2698.3,NASDAQ
2011-03-24,2736.42,NASDAQ
2011-03-25,2743.06,NASDAQ
2011-03-28,2730.68,NASDAQ
2011-03-29,2756.89,NASDAQ
2011-03-30,2776.79,NASDAQ
2011-03-31,2781.07,NASDAQ
2011-04-01,2789.6,NASDAQ
2011-04-04,2789.19,NASDAQ
2011-04-05,2791.19,NASDAQ
2011-04-06,2799.82,NASDAQ
2011-04-07,2796.14,NASDAQ
2011-04-08,2780.42,NASDAQ
2011-04-11,2771.51,NASDAQ
2011-04-12,2744.79,NASDAQ
2011-04-13,2761.52,NASDAQ
2011-04-14,2760.22,NASDAQ
2011-04-15,2764.65,NASDAQ
2011-04-18,2735.38,NASDAQ
2011-04-19,2744.97,NASDAQ
2011-04-20,2802.51,NASDAQ
2011-04-21,2820.16,NASDAQ
2011-04-25,2825.88,NASDAQ
2011-04-26,2847.54,NASDAQ
2011-04-27,2869.88,NASDAQ
2011-04-28,2872.53,NASDAQ
2011-04-29,2873.54,NASDAQ
2011-05-02,2864.08,NASDAQ
2011-05-03,2841.62,NASDAQ
2011-05-04,2828.23,NASDAQ
2011-05-05,2814.72,NASDAQ
2011-05-06,2827.56,NASDAQ
2011-05-09,2843.25,NASDAQ
2011-05-10,2871.89,NASDAQ
2011-05-11,2845.06,NASDAQ
2011-05-12,2863.04,NASDAQ
2011-05-13,2828.47,NASDAQ
2011-05-16,2782.31,NASDAQ
2011-05-17,2783.21,NASDAQ
2011-05-18,2815.0,NASDAQ
2011-05-19,2823.31,NASDAQ
2011-05-20,2803.32,NASDAQ
